Subject,Lambda,LR,EncDim,DecDim,Dropout,MSE
S004,1.0,0.001,256,32,0.2,0.12254697550088167
S004,1.0,0.001,128,128,0.2,0.1147368373349309
S004,1.0,0.001,256,32,0.3,0.16384794563055038
S004,1.0,0.001,256,64,0.2,0.1335382992401719
S004,1.0,0.001,256,128,0.2,0.10758164525032043
S004,1.0,0.001,256,64,0.3,0.15663326531648636
S004,1.0,0.0001,64,32,0.2,0.12124098278582096
S004,1.0,0.001,256,128,0.3,0.1572866216301918
S004,1.0,0.0001,64,32,0.3,0.10445282515138388
S004,1.0,0.0001,64,64,0.3,0.1070320294238627
S004,1.0,0.0001,64,64,0.2,0.11403710022568703
S004,1.0,0.0001,64,128,0.2,0.10539088863879442
S004,1.0,0.0001,128,32,0.2,0.13015846256166697
S004,1.0,0.0001,64,128,0.3,0.12468054052442312
S004,1.0,0.0001,128,64,0.2,0.1297869924455881
S004,1.0,0.0001,128,128,0.2,0.10875658551231027
S004,1.0,0.0001,128,64,0.3,0.1284348936751485
S004,1.0,0.0001,128,128,0.3,0.12098454404622316
S004,1.0,0.0001,128,32,0.3,0.13716341089457273
S004,1.0,0.0001,256,32,0.3,0.14512965269386768
S004,1.0,0.0001,256,32,0.2,0.14501524716615677
S004,1.0,0.0001,256,64,0.2,0.1426249947398901
S004,1.0,0.0001,256,64,0.3,0.1332111917436123
S004,1.5,0.001,64,32,0.2,0.11009930167347193
S004,1.0,0.0001,256,128,0.3,0.14399241842329502
S004,1.0,0.0001,256,128,0.2,0.1330126514658332
S004,1.5,0.001,64,64,0.2,0.125214209780097
S004,1.5,0.001,64,64,0.3,0.1270519457757473
S004,1.5,0.001,64,32,0.3,0.14995823707431555
S004,1.5,0.001,64,128,0.2,0.1257268711924553
S004,1.5,0.001,64,128,0.3,0.1300165830180049
S004,1.5,0.001,128,32,0.2,0.1588930655270815
S004,1.5,0.001,128,64,0.2,0.1664831330999732
S004,1.5,0.001,128,32,0.3,0.13125213608145714
S004,1.5,0.001,128,128,0.2,0.14003103971481323
S004,1.5,0.001,128,128,0.3,0.1482631154358387
S004,1.5,0.001,128,64,0.3,0.13779898453503847
S004,1.5,0.001,256,64,0.2,0.12986797746270895
S004,1.5,0.001,256,64,0.3,0.10002506896853447
S004,1.5,0.001,256,32,0.3,0.1403469843789935
S004,1.5,0.001,256,32,0.2,0.10821562632918358
S004,1.5,0.001,256,128,0.3,0.13350608106702566
S004,1.5,0.001,256,128,0.2,0.15176299586892128
S004,1.5,0.0001,64,32,0.2,0.11240517254918814
S004,1.5,0.0001,64,64,0.3,0.12011518888175488
S004,1.5,0.0001,64,32,0.3,0.11377066187560558
S004,1.5,0.0001,64,64,0.2,0.11802859976887703
S004,1.5,0.0001,64,128,0.2,0.11766806431114674
S004,1.5,0.0001,128,32,0.2,0.1194482808932662
S004,1.5,0.0001,64,128,0.3,0.09293521428480744
S004,1.5,0.0001,128,32,0.3,0.11610617209225893
